pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,correcta,porcentaje_aciertos,aciertos,fallos,veces_preguntada
¿Quién dirigió a Francia en el Mundial 2018?,Zidane,Laurent Blanc,Deschamps,Domenech,3,100.00,1,0,1
¿Qué futbolista fue goleador de la Copa América 2001?,Asprilla,Ángel,Víctor Aristizábal,Valderrama,3,100.00,1,0,1
¿En qué año se fundó el FC Barcelona?,1899,1905,1910,1888,1,0.00,0,1,1
¿Qué jugador marcó el gol más rápido en la historia de los mundiales?,Hakan Şükür,Mbappé,Pelé,Lineker,1,0.00,0,0,0
¿Qué club ganó la Europa League 2020?,Sevilla,Inter,Man. United,Arsenal,1,0.00,0,1,1
¿Qué selección jugó la final del Mundial 2018 por primera vez?,Croacia,Bélgica,Uruguay,Países Bajos,1,50.00,1,1,2
¿Cuál fue el presupuesto más alto de transferencia en 2023?,120 M EUR,150 M EUR,200 M EUR,180 M EUR,4,0.00,0,1,1
¿Qué selección ganó la Copa Oro 2021?,Estados Unidos,México,Canadá,Costa Rica,1,0.00,0,0,0
¿Quién ganó la Champions League 2023?,Real Madrid,Man. City,Inter de Milán,Napoli,2,0.00,0,0,0
"¿Quién es conocido como ""El Apache""?",Carlos Tévez,Sergio Agüero,Gabriel Batistuta,Ángel Di María,1,0.00,0,0,0
¿Qué jugador ganó el Mundial de Clubes 2019?,Salah,Mane,Firmino,Roberto Firmino,1,0.00,0,0,0
¿En qué club debutó Lionel Messi?,Newell's Old Boys,River Plate,Barcelona,Boca Juniors,3,0.00,0,0,0
¿Qué selección ganó la Copa América 2015?,Argentina,Chile,Brasil,Uruguay,2,0.00,0,0,0
¿Qué equipo inglés tiene más títulos de Premier League?,Chelsea,Arsenal,Man. United,Liverpool,3,0.00,0,0,0
¿Qué jugador argentino usó el dorsal 10 en el Mundial 1994?,Batistuta,Redondo,Maradona,Simeone,3,0.00,0,0,0
¿Quién marcó el gol del título de la Eurocopa 2012?,Mario Balotelli,Andrés Iniesta,Fernando Torres,Mario Gomez,2,0.00,0,0,0
¿Quién es el capitán de la argentina en 2022?,Ángel Di María,Lionel Messi,Nicolás Otamendi,Emiliano Martínez,2,0.00,0,0,0
¿Quién fue el primer jugador africano en ganar el Balón de Oro?,Salif Keïta,George Weah,Samuel Eto’o,Didier Drogba,2,0.00,0,0,0
¿Quién fue el máximo goleador del Mundial 2002?,Klose,Ronaldo,Figo,Rivaldo,2,0.00,0,0,0
¿Quién fue el máximo goleador de la Copa América 2016?,Messi,Eduardo Vargas,Higuaín,Alexis Sánchez,2,0.00,0,0,0
¿Cuántas Champions League tiene el AC Milan?,5,6,7,8,3,0.00,0,0,0
¿Cuántos Mundiales ganó Italia?,2,3,4,5,3,0.00,0,0,0
¿Cuál es el apodo de la selección uruguaya?,La Celeste,La Roja,La Tricolor,Los Incas,1,0.00,0,0,0
¿En qué equipo jugó Kaká en la Serie A?,Roma,Milan,Inter,Juve,2,0.00,0,0,0
¿Qué país ganó el Mundial Sub-17 en 2019?,Brasil,México,Francia,España,1,0.00,0,0,0
¿Qué equipo brasileño ganó la Libertadores en 2021?,Flamengo,Palmeiras,Santos,Gremio,2,0.00,0,0,0
¿Qué equipo fue eliminado en fase de grupos en el Mundial 2002?,Brasil,Francia,Alemania,Italia,2,0.00,0,0,0
¿Cuál es el apodo de la selección de Alemania?,Azzurra,Mannschaft,Les Bleus,Charrúas,2,0.00,0,0,0
¿Qué jugador español ganó el Balón de Oro en 1960?,Luis Suárez,Di Stéfano,Ferenc Puskás,Johan Cruyff,2,0.00,0,0,0
¿Quién fue elegido mejor jugador joven del Mundial 2014?,Pogba,Mbappé,James Rodríguez,Gotze,1,0.00,0,0,0
"¿Que jugador es conocido como ""La Joya""?",Cristiano Ronaldo,Lamine Yamal,Paulo Dybala,Haaland,3,0.00,0,0,0
¿Qué país ganó la Eurocopa 2016?,Francia,Portugal,Alemania,Italia,2,100.00,1,0,1
¿Qué selección sudamericana fue semifinalista en el Mundial 2010?,Brasil,Uruguay,Argentina,Paraguay,2,0.00,0,0,0
¿En qué estadio juega la selección italiana de fútbol?,Wanda Metropolitano,Wembley,San Siro,Estadio Olímpico de Roma,4,0.00,0,0,0
¿Quién ganó el Balón de Oro en 2007?,Messi,Cristiano Ronaldo,Kaká,Ronaldinho,3,0.00,0,0,0
¿Quién fue el goleador del Mundial 2010?,Villa,Forlán,Klose,Müller,4,0.00,0,0,0
¿Cuántos mundiales tiene Brasil?,3,4,5,6,3,0.00,0,0,0
¿Qué selección ganó la Copa Africana de Naciones 2019?,Argelia,Senegal,Nigeria,Camerún,1,0.00,0,0,0
¿Qué club ganó la Champions League en 2012?,Chelsea,Bayern Múnich,Barcelona,Inter de Milán,1,0.00,0,0,0
¿Qué selección tiene más títulos de Copa América?,Brasil,Argentina,Uruguay,Chile,3,0.00,0,0,0
¿Quién fue el máximo goleador de la Eurocopa 2020?,Cristiano Ronaldo,Harry Kane,Patrik Schick,Kylian Mbappé,3,0.00,0,0,0
¿Quién ganó la Champions League 2020?,PSG,Bayern Múnich,Liverpool,Man. City,2,0.00,0,0,0
¿Qué jugador anotó el gol de la victoria en la final de la Euro 2008?,Iniesta,Xavi,Fernando Torres,Villa,3,0.00,0,0,0
¿Qué equipo fue campeón de la Bundesliga en 2023?,RB Leipzig,Borussia Dortmund,Bayern Múnich,Union Berlin,3,0.00,0,0,0
¿Cual es el equipo con mas Champions ?,Barcelona,Real Madrid,Milan,Man. United,2,0.00,0,0,0
¿Quién fue el máximo goleador del Mundial 2014?,Lionel Messi,Neymar,Thomas Müller,James Rodríguez,4,0.00,0,0,0
¿Quién tiene más títulos de Liga de España?,Barcelona,Atlético Madrid,Real Madrid,Sevilla,3,0.00,0,0,0
¿En qué club jugó Pelé la mayor parte de su carrera?,Flamengo,Santos,Corinthians,Vasco da Gama,2,0.00,0,0,0
¿Qué selección ganó la Copa Confederaciones 2013?,Brasil,España,Italia,Uruguay,1,0.00,0,0,0
"¿Qué selección jugó el famoso ""Maracanazo""?",Brasil vs Uruguay,Argentina vs Alemania,Uruguay vs Italia,Brasil vs Inglaterra,1,0.00,0,0,0
¿Cuántas veces ganó el Mundial la selección de Italia?,3,2,1,4,1,0.00,0,0,0
¿Quién fue el goleador del Mundial 2018?,Griezmann,Mbappé,Harry Kane,Lukaku,3,0.00,0,0,0
¿Cuál fue el primer club profesional de Lionel Messi?,Newell’s,Barcelona,PSG,Ninguno,2,0.00,0,0,0
¿Quién es el máximo goleador de la historia del Barcelona?,Luis Suárez,Lionel Messi,Samuel Eto'o,Romário,2,0.00,0,0,0
¿Quién es el entrenador del Manchester City en 2023?,José Mourinho,Carlo Ancelotti,Pep Guardiola,Zinedine Zidane,3,0.00,0,0,0
¿Qué jugador africano ganó el Balón de Oro en 1995?,Didier Drogba,George Weah,Samuel Eto’o,Yaya Touré,2,0.00,0,0,0
¿Quién fue el entrenador de Inglaterra en el Mundial 2018?,Sam Allardyce,Gareth Southgate,Roy Hodgson,Fabio Capello,2,0.00,0,1,1
¿En qué club jugó Diego Maradona en Italia?,Juventus,Inter,Napoli,Milan,3,0.00,0,0,0
¿Qué club de la MLS ganó más títulos hasta 2024?,Los Angeles Galaxy,Seattle Sounders,Atlanta United,New York Red Bulls,1,0.00,0,0,0
¿Qué club argentino descendió en 2011?,Boca Juniors,San Lorenzo,River Plate,Independiente,3,0.00,0,0,0
¿Cuál es el nombre del estadio del FC Barcelona?,Old Trafford,Camp Nou,Bernabéu,Allianz Arena,2,0.00,0,0,0
¿Quién fue el portero de Italia en el Mundial 2006?,Buffon,Toldo,Peruzzi,Marchetti,1,0.00,0,0,0
¿En qué año se fundó el club Boca Juniors?,1905,1913,1920,1900,1,0.00,0,0,0
¿En qué club debutó profesionalmente Neymar?,Santos,Barcelona,PSG,Flamengo,1,0.00,0,0,0
¿Cuál fue el primer club profesional de Cristiano Ronaldo?,Sporting CP,Porto,Man. United,Benfica,1,0.00,0,0,0
¿Qué selección eliminó a Inglaterra en el Mundial 2018?,Croacia,Francia,Bélgica,Colombia,1,0.00,0,0,0
¿Cuál fue el primer club en ganar un triplete europeo?,Barcelona,Man. United,Inter de Milán,Celtic FC,4,0.00,0,0,0
¿En qué equipo jugó Drogba en Turquía?,Besiktas,Galatasaray,Fenerbahce,Trabzonspor,2,0.00,0,0,0
¿Qué club ganó la Premier League 2015–16?,Tottenham,Leicester City,Chelsea,Man. City,2,0.00,0,0,0
¿Quién es el máximo goleador de la historia de Brasil?,Pelé,Neymar,Zico,Ronaldo,2,0.00,0,0,0
¿Qué selección usó una camiseta negra en un Mundial?,Senegal,Croacia,Nueva Zelanda,Alemania,3,0.00,0,0,0
¿Dónde se jugó la final del Mundial 1990?,Roma,Milán,Roma,Turín,3,0.00,0,0,0
¿Qué club argentino tiene más títulos de Copa Libertadores?,River Plate,Boca Juniors,Independiente,Racing,2,0.00,0,0,0
¿Qué club italiano ganó el triplete en 2010?,Juventus,AC Milan,Inter de Milán,Napoli,3,0.00,0,0,0
"¿Qué jugador fue apodado ""El Niño""?",David Villa,Fernando Torres,Raúl,Isco,2,0.00,0,0,0
¿Quién es el máximo asistidor de la historia del fútbol?,Xavi,Neymar,Messi,De Bruyne,3,0.00,0,0,0
¿Qué club español ganó la Europa League 2021?,Sevilla,Villarreal,Atlético Madrid,Real Sociedad,2,0.00,0,0,0
¿Quién es el máximo goleador de la historia del PSG?,Cavani,Mbappé,Neymar,Ibrahimović,2,0.00,0,0,0
¿En qué país se originó el fútbol?,Brasil,Inglaterra,Italia,Alemania,2,0.00,0,0,0
¿Qué equipo ganó la Copa Libertadores en 2012?,Boca Juniors,Santos,Corinthians,Fluminense,3,0.00,0,0,0
"¿Qué jugador brasileño fue apodado ""El Emperador""?",Ronaldo,Adriano,Ronaldinho,Kaká,2,0.00,0,0,0
¿Qué equipo europeo tiene más títulos de Europa League?,Sevilla,Inter,Liverpool,Atlético de Madrid,1,0.00,0,0,0
"¿Quién es conocido como ""El Pibe""?",Valderrama,Zamorano,Riquelme,Maradona,1,0.00,0,0,0
¿Cuántos goles marcó Messi en el Mundial de 2022?,4,5,6,7,4,0.00,0,0,0
¿Quién fue el goleador de la liga española 2019–20?,Karim Benzema,Luis Suárez,Lionel Messi,Gerard Moreno,1,0.00,0,1,1
¿Qué país fue sede del Mundial 1994?,México,Alemania,Estados Unidos,Italia,3,0.00,0,0,0
¿Quién tiene más títulos de Champions como DT?,Zidane,Mourinho,Guardiola,Ancelotti,4,0.00,0,0,0
¿Quién fue el máximo goleador de la Serie A 2020-21?,Cristiano Ronaldo,Lukaku,Immobile,Zlatan,1,0.00,0,0,0
¿Qué seleccionador llevó a Francia al título mundial en 2018?,Didier Deschamps,Zinedine Zidane,Laurent Blanc,Aimé Jacquet,1,0.00,0,0,0
¿En qué año ganó Alemania Oriental su único título de Bundesliga?,1990,1991,1992,1989,1,0.00,0,0,0
¿Qué equipo ganó la Libertadores 2018?,Boca Juniors,River Plate,Palmeiras,Flamengo,2,0.00,0,0,0
¿En qué año debutó Messi en la selección argentina?,2003,2004,2005,2006,3,0.00,0,0,0
¿Quién marcó el gol de oro en la Euro 2000?,Zidane,Wiltord,Trezeguet,Henry,3,0.00,0,0,0
¿Quién marcó el gol de la victoria en la final del Mundial 2010?,Iniesta,Xavi,Torres,Villa,1,0.00,0,0,0
¿Cuál fue el resultado de la final de la Champions 2019?,2‑0,3‑1,1‑0,4‑2,2,0.00,0,0,0
¿Quién es el jugador con más partidos en la historia del fútbol?,Cristiano Ronaldo,Iker Casillas,Messi,Sergio Ramos,1,0.00,0,0,0
¿Qué selección llegó a cuartos de final en Mundial 2022?,Senegal,Ghana,Marruecos,Nigeria,3,0.00,0,0,0
¿Quién ganó la Eurocopa 2020?,Inglaterra,Italia,España,Francia,2,0.00,0,0,0
¿Qué jugador hizo un triplete en 6 minutos en la Bundesliga?,Erling Haaland,Gerd Müller,Lewandowski,Mario Gómez,3,0.00,0,0,0
¿Quién fue el DT de la selección inglesa en el Mundial 2018?,Gareth Southgate,Roy Hodgson,Steve McClaren,Sam Allardyce,1,0.00,0,0,0
¿Quién ganó el Mundial Sub-20 en 2023?,Uruguay,Italia,Argentina,Colombia,1,0.00,0,1,1
¿En qué país nació Erling Haaland?,Suecia,Noruega,Dinamarca,Finlandia,2,0.00,0,0,0
¿En qué país nació Kylian Mbappé?,España,Bélgica,Francia,Portugal,3,0.00,0,0,0
¿En qué club europeo jugó Drogba la mayor parte de su carrera?,Marsella,Chelsea,Galatasaray,Le Mans,2,0.00,0,0,0
¿Quién ganó el oro olímpico en fútbol masculino en Tokio 2020?,Brasil,España,Alemania,México,1,0.00,0,0,0
¿Quién dirigió al Chelsea en la Champions 2021?,Lampard,Sarri,Tuchel,Conte,3,0.00,0,0,0
¿Quién ganó el Mundial de 2022?,Francia,Argentina,Croacia,Marruecos,2,0.00,0,0,0
¿Qué selección europea fue subcampeona en la Euro 2004?,Grecia,Portugal,España,Italia,2,0.00,0,0,0
¿Quién ganó el Balón de Oro en 2021?,Cristiano Ronaldo,Lionel Messi,Lewandowski,Jorginho,2,0.00,0,0,0
¿En qué año se jugó el primer Mundial de fútbol?,1928,1930,1934,1938,2,0.00,0,0,0
¿Quién es el máximo goleador histórico de la Champions?,Lionel Messi,Cristiano Ronaldo,Robert Lew.,Kylian Mbappé,2,0.00,0,0,0
¿Qué equipo ascendió a la Premier League por primera vez en 2023?,Luton Town,Leeds United,Norwich City,Watford,1,0.00,0,0,0
¿Qué selección organizó y ganó el Mundial en 1998?,Brasil,Francia,Italia,Alemania,2,0.00,0,0,0
¿Qué selección ganó el Mundial Femenino 2019?,Países Bajos,Estados Unidos,Alemania,Suecia,2,0.00,0,0,0
¿Qué equipo ganó la Champions League en 2005?,Barcelona,Liverpool,Milan,Juventus,2,0.00,0,0,0
¿Qué país ganó la Eurocopa 2016?,Francia,Portugal,Alemania,Italia,2,0.00,0,0,0
¿Qué jugador fue fichado por el PSG desde el Borussia Dortmund en 2017?,Haaland,Sancho,Dembélé,Meunier,3,0.00,0,0,0
¿Quién tiene el récord de más goles en una temporada de la Premier League?,Mohamed Salah,Cristiano Ronaldo,Alan Shearer,Andy Cole,1,0.00,0,0,0
¿Qué selección ganó la Copa América 2019?,Argentina,Brasil,Chile,Uruguay,2,0.00,0,0,0
¿Qué selección ganó el primer Mundial Sub-17?,Uruguay,Brasil,Nigeria,Argentina,2,0.00,0,0,0
¿Qué selección usó camiseta rosa en un Mundial?,México,Senegal,Italia,Nigeria,1,0.00,0,0,0
¿Quién ganó la Copa América 2021?,Brasil,Uruguay,Argentina,Colombia,3,100.00,1,0,1
¿En qué club jugó Diego Forlán en España?,Real Madrid,Sevilla,Villarreal,Valencia,3,100.00,1,0,1
¿Quién fue el máximo goleador de la Bundesliga 2020-21?,Haaland,Lewandowski,Müller,Andre Silva,2,0.00,0,0,0
¿Qué país fue eliminado por Corea del Sur en el Mundial 2018?,Alemania,España,Brasil,Portugal,1,0.00,0,0,0
¿Qué selección tiene el récord de más goles en una sola Copa del Mundo?,Hungría (1954),Brasil (2002),Francia (2018),Alemania (2014),1,0.00,0,0,0
¿Cuál es el apodo de la selección de Brasil?,La Roja,Los Albicelestes,La Canarinha,Les Bleus,3,100.00,1,0,1
¿Cuál fue el país anfitrión del Mundial 2002?,Alemania,Corea del Sur y Japón,Italia,Francia,2,0.00,0,1,1
¿Quién ganó el Mundial de Clubes 2022?,Chelsea,Flamengo,Real Madrid,Liverpool,3,0.00,0,0,0
¿Qué selección tiene más participaciones en Mundiales?,Alemania,Brasil,Italia,Argentina,2,0.00,0,0,0
¿En qué club juega Jude Bellingham (2024)?,Dortmund,Real Madrid,PSG,Liverpool,2,0.00,0,0,0
¿Que seleccion de futbol gano primer mundial?,Uruguay,Brasil,Alemania,Inglaterra,1,0.00,0,0,0
"¿Quién es conocido como ""Don Andrés""?",Xavi,Hernández,Iniesta,Piqué,3,0.00,0,0,0
¿Qué país ha ganado más veces la Copa de África?,Egipto,Nigeria,Camerún,Ghana,1,0.00,0,1,1
¿Quién ganó el Balón de Oro en 2006?,Ronaldinho,Zidane,Fabio Cannavaro,Kaká,3,0.00,0,0,0
¿Qué equipo ganó el primer Mundial de Clubes (2000)?,Corinthians,Vasco da Gama,Real Madrid,Boca Juniors,1,0.00,0,1,1
¿Qué club africano ha ganado más veces la CAF Champions League?,TP Mazembe,Al Ahly,Zamalek,Espérance,2,0.00,0,0,0
¿Qué portero ganó el premio The Best 2022?,Dibu Martínez,Courtois,Alisson,Ederson,1,100.00,1,0,1
¿Quién fue el técnico de España en el Mundial 2010?,Luis Enrique,Vicente del Bosque,Delgado,Moreno,2,0.00,0,0,0
¿Qué selección ganó la Eurocopa 2004?,Alemania,España,Grecia,Francia,3,0.00,0,0,0
¿Qué arquero ganó la Bota de Oro del Mundial 2014?,No hubo,Manuel Neuer,David de Gea,Keylor Navas,1,0.00,0,0,0
¿Cuál fue la primera Copa del Mundo en la que participaron 32 selecciones?,1994,1998,2002,1990,2,0.00,0,0,0
¿Quién marcó el gol de la victoria en la final de Champions 2014?,Cristiano Ronaldo,Bale,Ramos,Di María,2,0.00,0,0,0
¿Qué selección perdió una final por penales en 1994?,Italia,Alemania,Argentina,Brasil,1,0.00,0,0,0
¿En qué estadio se jugó la final del Mundial 2014?,Maracaná,Arena Corinthians,Estadio Nacional,Mineirao,1,100.00,1,0,1
"¿Quién marcó el famoso gol con ""la mano de Dios""?",Cristiano Ronaldo,Lionel Messi,Diego Maradona,Sergio Agüero,3,0.00,0,0,0
¿Quién ganó el Mundial Femenino 2015?,Japón,Alemania,Estados Unidos,Suecia,3,0.00,0,0,0
¿Quién fue el capitán de Alemania en el Mundial 2014?,Neuer,Khedira,Lahm,Schweinsteiger,3,0.00,0,0,0
"¿Quién es conocido como ""El Fenómeno""?",Ronaldinho,Neymar,Ronaldo Nazário,Kaká,3,0.00,0,0,0
¿Dónde juega actualmente Cristiano Ronaldo (2024)?,Man. United,Al-Nassr,Juventus,Real Madrid,2,0.00,0,0,0
